                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.37552,                0.30675,                0.85124,                0.99449,                0.88078,                0.92491,                 0.8026,                0.31374,                0.51541,                0.50539,               0.000359,               0.000359,               0.000359
                     74,                0.36398,                0.31144,                0.83155,                0.99633,                0.70258,                0.80894,                0.69941,                0.33872,                0.51295,                0.50471,             0.00034663,             0.00034663,             0.00034663
                     75,                0.32909,                0.28362,                0.82393,                0.99612,                0.72505,                 0.8214,                0.70193,                0.34399,                0.50305,                0.50361,             0.00033425,             0.00033425,             0.00033425
                     76,                0.35827,                0.28927,                0.81952,                0.99245,                0.57896,                0.72987,                0.64072,                 0.3031,                0.45909,                0.50146,             0.00032188,             0.00032188,             0.00032188
                     77,                0.35147,                0.29193,                0.84808,                0.99543,                0.69167,                0.80573,                0.68906,                0.28419,                0.45305,                0.49952,              0.0003095,              0.0003095,              0.0003095
                     78,                 0.3567,                0.30071,                0.84644,                0.99755,                0.82012,                0.89048,                0.75353,                 0.2923,                0.45065,                0.50064,             0.00029713,             0.00029713,             0.00029713
                     79,                0.36125,                0.29295,                0.84354,                0.99649,                0.64692,                0.77722,                0.67334,                0.31885,                0.46549,                0.50304,             0.00028475,             0.00028475,             0.00028475
                     80,                0.35227,                 0.2968,                 0.8527,                0.99684,                0.82975,                0.89601,                0.76468,                0.33137,                0.48882,                0.50407,             0.00027237,             0.00027237,             0.00027237
                     81,                0.35508,                 0.2913,                0.84351,                0.99565,                0.66207,                0.77948,                0.66072,                0.30482,                0.46032,                0.50137,                0.00026,                0.00026,                0.00026
                     82,                0.33627,                0.27082,                0.82441,                0.99708,                0.96978,                0.97854,                0.86735,                0.26664,                0.42027,                0.49726,             0.00024762,             0.00024762,             0.00024762
                     83,                0.32058,                0.26083,                0.81573,                0.99808,                0.79924,                 0.8699,                 0.7644,                0.27239,                 0.4264,                0.49772,             0.00023525,             0.00023525,             0.00023525
                     84,                0.32266,                0.28021,                  0.821,                0.99694,                0.75971,                0.85164,                0.73802,                0.30536,                0.44797,                0.50038,             0.00022288,             0.00022288,             0.00022288
                     85,                0.31381,                0.27219,                0.83083,                0.99685,                0.77223,                0.86185,                0.74306,                0.31267,                0.45504,                0.50067,              0.0002105,              0.0002105,              0.0002105
                     86,                0.32641,                0.26509,                0.81457,                0.99727,                0.85724,                0.91274,                0.80032,                 0.3029,                0.44881,                0.50093,             0.00019813,             0.00019813,             0.00019813
